"task_id","task_name","milestone_id","priority","start_date","end_date","duration_days","actual_completion","status","dependency","owner","notes"
"TIM-001-01","Brand Standards and Style Themes Lock","TIM-001","Critical","2026-04-01","2026-04-05","4","","IN_PROGRESS","None","Owner","Primary styling baseline; audit_2026-04-03: 02_property_design_master_checklist remains unchecked; approvals and release gates not verified"
"TIM-001-02","Room-by-Room Design Specs Map","TIM-001","High","2026-04-04","2026-04-10","6","","IN_PROGRESS","TIM-001-01","Owner","Inventory lists for procurement; audit_2026-04-03: 02_property_design_master_checklist remains unchecked; approvals and release gates not verified"
"TIM-002-01","Primary Furnishing Order Launch","TIM-002","Critical","2026-04-08","2026-04-12","4","","Planned","TIM-001-02","Owner","Prioritize long-lead items"
"TIM-002-02","Amenity and Tech Procurement","TIM-002","High","2026-04-11","2026-04-20","9","","Planned","TIM-002-01","Owner","Focus on social island items"
"TIM-003-01","Furniture Assembly and Staging","TIM-003","High","2026-04-15","2026-04-25","10","","Planned","TIM-002-02","Owner","Turnover-style staging QA"
"TIM-003-02","Smart Home and Tech Deployment","TIM-003","High","2026-04-20","2026-04-27","7","","Planned","TIM-003-01","Owner","Smart lock and mesh validation"
"TIM-004-01","Professional Media Capture (Twilight/3D)","TIM-004","Critical","2026-04-22","2026-04-26","4","","Planned","TIM-003-02","Owner","Follow hero shot list"
"TIM-004-02","Listing Description and Content Drafting","TIM-004","Medium","2026-04-24","2026-04-30","6","","Planned","TIM-004-01","Owner","Optimize for SEO Keywords"
"TIM-005-01","Pricing Engine Rules and Seasonality","TIM-005","High","2026-04-25","2026-04-28","3","","Planned","TIM-004-01","Owner","Anchor in 78744 benchmarks"
"TIM-005-02","Promotion Stack and Discount Launch","TIM-005","Medium","2026-04-28","2026-05-02","4","","Planned","TIM-005-01","Owner","Enable 15% new listing promo"
"TIM-006-01","STR Permit and Compliance Finalization","TIM-006","Critical","2026-04-10","2026-05-01","21","","In Progress","TIM-001-02","Owner","City of Austin lead times"
"TIM-006-02","Insurance and Tax Setup Verification","TIM-006","High","2026-04-20","2026-05-05","15","","Planned","TIM-006-01","Owner","Verify STR coverage"
"TIM-007-01","Final Readiness Walkthrough and Audit","TIM-007","Critical","2026-05-03","2026-05-05","2","","Planned","TIM-004|TIM-005|TIM-006","Owner","Gate check for go-live"
"TIM-007-02","Listing Go-Live and Booking Launch","TIM-007","Critical","2026-05-06","2026-05-07","1","","Planned","TIM-007-01","Owner","Formal market launch"
