room,checklist_total,items_completed,items_pending,status,verified_by,verification_date,evidence_path,notes
Primary Bedroom,4,0,4,Pending,Setup Crew Lead,2026-04-05,,Awaiting physical install evidence capture
Primary Bathroom,11,0,11,Pending,Setup Crew Lead,2026-04-05,,Awaiting physical install evidence capture
Primary W.I.C.,12,0,12,Pending,Setup Crew Lead,2026-04-05,,Awaiting physical install evidence capture
Great Room,10,0,10,Pending,Setup Crew Lead,2026-04-05,,Awaiting physical install evidence capture
Kitchen,12,0,12,Pending,Setup Crew Lead,2026-04-05,,Awaiting physical install evidence capture
Common Hallway,11,0,11,Pending,Setup Crew Lead,2026-04-05,,Awaiting physical install evidence capture
Secondary BR #1,12,0,12,Pending,Setup Crew Lead,2026-04-05,,Awaiting physical install evidence capture
Secondary BR #2,10,0,10,Pending,Setup Crew Lead,2026-04-05,,Awaiting physical install evidence capture
Second Bathroom,12,0,12,Pending,Setup Crew Lead,2026-04-05,,Awaiting physical install evidence capture
Den,13,0,13,Pending,Setup Crew Lead,2026-04-05,,Awaiting physical install evidence capture
