"Category","Priority","Qty","Item","Budget","Theme","Status","Area","Spec","Notes"
"Art","High","1","Large Hill Country landscape or Austin skyline-at-dusk canvas","$$$","Hill Country Retreat","Planned","Master Bedroom","48-60 in wide, muted palette, framed","Primary focal piece"
"Textiles","High","2","Linen bedding set (white/cream)","$$","Hill Country Retreat","Planned","Master Bedroom","Hotel-grade, queen/king per bed","Rotation set"
"Lighting","High","2","Warm dimmable bedside lamps/sconces","$$","Hill Country Retreat","Planned","Master Bedroom","2700K, USB charging","Both sides"
"Decor","Medium","1","Minimal wood/stone accent objects","$","Hill Country Retreat","Planned","Master Bedroom","2-3 pieces max","Avoid clutter"
"Art","High","1","South Congress streetscape photo print","$$","South Congress Studio","Planned","Secondary Bedroom #1","30-40 in focal piece","Main art above bed"
"Textiles","Medium","1","Accent pillows/throw (burnt orange or deep teal)","$","South Congress Studio","Planned","Secondary Bedroom #1","Single accent family only","Keep room clean"
"Lighting","High","2","Swing-arm sconces","$$","South Congress Studio","Planned","Secondary Bedroom #1","Matte black, plug-in or hardwired","Space-saving"
"Decor","High","2","Slim floating nightstands","$$","South Congress Studio","Planned","Secondary Bedroom #1","Narrow profile","Maintain walkway"
"Art","High","2","Water-inspired Austin print pair","$$","Barton Springs Calm","Planned","Secondary Bedroom #2","Vertical paired composition","Sister-room contrast"
"Textiles","Medium","1","Cool-toned bedding accents","$","Barton Springs Calm","Planned","Secondary Bedroom #2","Driftwood grey or pale seafoam","Do not duplicate Room #1"
"Lighting","High","2","Swing-arm sconces","$$","Barton Springs Calm","Planned","Secondary Bedroom #2","Brushed gold/brass finish","Inverted finish"
"Decor","Medium","1","Low-profile storage bench","$$","Barton Springs Calm","Planned","Secondary Bedroom #2","Foot-of-bed, narrow","Mirror room variation"
"Art","High","2","Austin music-culture print + local map art","$$","Live Oak Creative Lounge","Planned","Den","Zoom-safe background composition","Video-call friendly"
"Acoustic","High","1","Acoustic wall panels/slat treatment","$$$","Live Oak Creative Lounge","Planned","Den","Fabric or oak-look finish","Work/play sound control"
"Lighting","High","1","Smart bulbs/scenes","$$","Live Oak Creative Lounge","Planned","Den","2200K movie + 4000K work","Dual mode"
"Work Setup","High","1","Desk tech tray kit","$$","Live Oak Creative Lounge","Planned","Den","Dock, lamp, USB-C + HDMI spares","Digital nomad appeal"
"Art","Medium","1","Outdoor-safe Austin skyline/wildflower panel","$$","Texas Sunset Social Deck","Planned","Covered Patio","Weather-resistant, UV rated","Evening focal point"
"Textiles","High","1","Outdoor cushions + throw pillows","$$","Texas Sunset Social Deck","Planned","Covered Patio","Terracotta/sand/cactus tones","Conversation zone"
"Lighting","High","1","Warm string/lantern lighting","$$","Texas Sunset Social Deck","Planned","Covered Patio","Outdoor-rated, dimmable if possible","Night ambience"
"Decor","Medium","3","Planters with mixed-height greenery","$$","Texas Sunset Social Deck","Planned","Covered Patio","Low-maintenance outdoor species","Soften hard edges"
