record_id,channel,setup_step,required_for_launch,status,owner,completion_date,notes
1,Airbnb,Profile Verification,Yes,In Progress,Owner,,Government ID and phone verified
2,Airbnb,Listing Copy Upload,Yes,Pending,Owner,,Reference [Airbnb Copy Master](../02_Listing_Copy/2026-04-01__02_Airbnb_Listing_Copy__v1.md)
3,Airbnb,Professional Photo Upload,Yes,Pending,Owner,,Reference [Shotlist](../01_Photos_Video/2026-04-01__01_Photo_Shotlist__v1.md)
4,Airbnb,Pricing Rules Config,Yes,Pending,Owner,,Reference [Revenue Strategy](../../08_Pricing_Revenue/REVENUE_STRATEGY.md)
5,Airbnb,House Manual Link,Yes,Pending,Owner,,Link to [Guest Guide](../../06_Guest_Experience/01_House_Manual/2026-04-01__House_Manual_Master__v1.md)
6,VRBO,Profile Verification,Yes,In Progress,Owner,,
7,VRBO,Listing Copy Upload,Yes,Pending,Owner,,
8,VRBO,Professional Photo Upload,Yes,Pending,Owner,,
9,VRBO,Pricing Rules Config,Yes,Pending,Owner,,
10,Channel Manager,iCal/API Sync,Yes,Pending,Owner,,Ensure zero double-bookings
