Asset_ID,Asset_Name,Category,Location,Model_Number,Serial_Number,Install_Date,Purchase_Cost,Expected_Life_Years,Replacement_Cost,Warranty_Expiration,Next_Replacement_Forecast,Status,Notes
AST-001,HVAC System,Critical,Attic,[TBD],[TBD],[TBD],[TBD],15,"$5,000 ",[TBD],[TBD],Active,[MISSING_EVIDENCE - Verify model/serial from installation records]
AST-002,Water Heater,Critical,Garage,[TBD],[TBD],[TBD],[TBD],10,"$1,200 ",[TBD],[TBD],Active,[MISSING_EVIDENCE - Verify model/serial from installation records]
AST-003,Dishwasher,Critical,Kitchen,[TBD],[TBD],[TBD],[TBD],10,$800 ,[TBD],[TBD],Active,[MISSING_EVIDENCE - Verify model/serial from procurement records]
AST-004,Smart Lock - Front Door,Critical,Front Entry,[TBD],[TBD],[TBD],[TBD],5,$250 ,[TBD],[TBD],Active,[MISSING_EVIDENCE - Verify from smart home deployment records]
AST-005,Smart Lock - Garage Door,Critical,Garage Entry,[TBD],[TBD],[TBD],[TBD],5,$250 ,[TBD],[TBD],Active,[MISSING_EVIDENCE - Verify from smart home deployment records]
AST-006,Smart Lock - Back Door,Critical,Back Entry,[TBD],[TBD],[TBD],[TBD],5,$250 ,[TBD],[TBD],Active,[MISSING_EVIDENCE - Verify from smart home deployment records]
AST-007,Smart Lock - Side Gate,Critical,Side Yard,[TBD],[TBD],[TBD],[TBD],5,$250 ,[TBD],[TBD],Active,[MISSING_EVIDENCE - Verify from smart home deployment records]
AST-008,Smoke Alarm - Primary Bedroom,Critical,Primary Bedroom,[TBD],[TBD],[TBD],[TBD],10,$50 ,[TBD],[TBD],Active,[MISSING_EVIDENCE - Verify from safety equipment records]
AST-009,Smoke Alarm - Secondary Bedroom 1,Critical,Secondary Bedroom 1,[TBD],[TBD],[TBD],[TBD],10,$50 ,[TBD],[TBD],Active,[MISSING_EVIDENCE]
AST-010,Smoke Alarm - Secondary Bedroom 2,Critical,Secondary Bedroom 2,[TBD],[TBD],[TBD],[TBD],10,$50 ,[TBD],[TBD],Active,[MISSING_EVIDENCE]
AST-011,Smoke Alarm - Hallway,Critical,Central Hallway,[TBD],[TBD],[TBD],[TBD],10,$50 ,[TBD],[TBD],Active,[MISSING_EVIDENCE]
AST-012,CO Alarm - Great Room,Critical,Great Room,[TBD],[TBD],[TBD],[TBD],7,$60 ,[TBD],[TBD],Active,[MISSING_EVIDENCE]
AST-013,Fire Extinguisher,Critical,Kitchen,[TBD],[TBD],[TBD],[TBD],12,$50 ,[TBD],[TBD],Active,[MISSING_EVIDENCE - Verify size and type]
AST-014,Primary Bedroom Mattress,High-Value,Primary Bedroom,[TBD],[TBD],[TBD],[TBD],7,"$1,200 ",[TBD],[TBD],Active,[MISSING_EVIDENCE - Verify from procurement records]
AST-015,Secondary Bedroom 1 Mattress,High-Value,Secondary Bedroom 1,[TBD],[TBD],[TBD],[TBD],7,$800 ,[TBD],[TBD],Active,[MISSING_EVIDENCE]
AST-016,Secondary Bedroom 2 Mattress,High-Value,Secondary Bedroom 2,[TBD],[TBD],[TBD],[TBD],7,$800 ,[TBD],[TBD],Active,[MISSING_EVIDENCE]
AST-017,Sleeper Sofa,High-Value,Great Room,[TBD],[TBD],[TBD],[TBD],10,"$1,500 ",[TBD],[TBD],Active,[MISSING_EVIDENCE - Verify from procurement records]
AST-018,Outdoor Fire Pit,High-Value,Back Patio,[TBD],[TBD],[TBD],[TBD],10,$800 ,[TBD],[TBD],Active,[MISSING_EVIDENCE - Verify gas line installation date and model]
AST-019,Refrigerator,High-Value,Kitchen,[TBD],[TBD],[TBD],[TBD],12,"$1,500 ",[TBD],[TBD],Active,[MISSING_EVIDENCE]
AST-020,Range/Oven,High-Value,Kitchen,[TBD],[TBD],[TBD],[TBD],15,"$1,200 ",[TBD],[TBD],Active,[MISSING_EVIDENCE]
